Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
Anna Karolina Schmiedlova,Yanina Wickmayer,1,1,2,1,62,40,38,16,6,4,17,42,4,12,3,4,102,7,2,6,NA,NA,59,39,41,22,1,8,34,66,4,10,9,12,102,6,6,2,NA,NA
Shuai Peng,Camila Giorgi,1,1,2,0,54,28,46,14,2,3,13,15,4,8,5,5,68,6,6,NA,NA,NA,53,24,47,8,1,11,23,30,1,4,3,8,57,4,2,NA,NA,NA
Petra Kvitova,Aravane Rezai,1,1,2,1,69,35,31,13,5,6,29,32,9,16,4,11,94,6,4,6,NA,NA,56,27,44,12,1,7,33,32,6,13,11,15,87,3,6,2,NA,NA
Elena Vesnina,Victoria Azarenka,1,0,0,2,74,21,26,6,2,1,20,16,1,5,9,11,47,1,4,NA,NA,NA,70,31,30,6,4,1,21,13,4,8,8,10,63,6,6,NA,NA,NA
Sandra Zahlavova,Annika Beck,1,0,0,2,69,18,31,7,2,1,13,24,0,3,5,11,40,2,1,NA,NA,NA,83,28,17,5,1,1,19,13,5,11,5,7,62,6,6,NA,NA,NA
Irina-Camelia Begu,Silvia Soler-Espinosa,1,0,0,2,74,26,26,6,,3,19,28,1,3,6,9,53,3,2,NA,NA,NA,56,23,44,15,,2,17,15,4,11,4,6,71,6,6,NA,NA,NA
Alize Cornet,Maria Joao Koehler,1,1,2,0,70,28,30,11,,3,16,19,6,9,7,9,72,7,6,NA,NA,NA,60,19,40,8,,9,20,45,3,8,4,8,58,5,2,NA,NA,NA
Flavia Pennetta,Kirsten Flipkens,1,0,1,2,41,21,59,17,1,7,20,26,4,12,14,28,81,6,4,0,NA,NA,45,31,55,23,5,9,34,28,6,8,21,28,92,2,6,6,NA,NA
Melinda Czink,Francesca Schiavone,1,0,0,2,57,23,43,12,1,4,18,26,2,6,11,19,51,0,6,NA,NA,NA,57,26,43,14,4,5,29,20,5,10,5,8,79,6,7,NA,NA,NA
Kristyna Pliskova,Mariana Duque-Marino,1,0,0,2,60,18,40,9,0,3,6,27,0,4,3,11,38,2,0,NA,NA,NA,65,23,35,9,3,1,27,16,5,12,12,14,65,6,6,NA,NA,NA
Marion Bartoli,Olga Govortsova,1,1,2,1,62,54,38,25,4,12,40,45,7,14,12,19,129,7,4,7,NA,NA,62,42,38,16,1,9,57,42,7,16,9,13,131,6,6,5,NA,NA
Nina Bratchikova,Maria Kirilenko,1,0,0,2,69,15,31,4,0,1,6,24,0,2,5,8,33,0,1,NA,NA,NA,51,19,49,12,2,4,24,14,5,11,3,5,60,6,6,NA,NA,NA
Ashleigh Barty,Lucie Hradecka,1,1,2,1,53,32,47,23,4,2,26,29,7,18,11,11,103,7,2,6,NA,NA,57,31,43,18,5,7,38,45,6,10,11,21,97,5,6,1,NA,NA
Stefanie Voegele,Heather Watson,1,1,2,1,64,41,36,16,4,4,21,24,3,14,9,12,96,6,2,6,NA,NA,67,44,33,17,4,2,38,24,3,8,9,18,91,4,6,4,NA,NA
Klara Zakopalova,Kaia Kanepi,1,0,0,2,58,22,42,11,1,2,13,46,3,7,3,8,59,6,2,NA,NA,NA,70,32,30,8,2,3,17,33,5,6,0,2,80,7,6,NA,NA,NA
Coco Vandeweghe,Yaroslava Shvedova,1,0,1,2,53,24,47,12,4,6,16,37,3,7,7,14,61,0,6,2,NA,NA,64,30,36,14,0,5,23,22,7,12,10,11,84,6,3,6,NA,NA
Tatjana Maria,Paula Ormaechea,1,0,1,2,60,30,40,18,5,2,17,32,2,3,12,19,73,3,6,0,NA,NA,49,25,51,21,3,4,35,30,6,15,13,19,89,6,4,6,NA,NA
Bethanie Mattek-Sands,Lourdes Dominguez Lino,1,1,2,0,54,24,46,14,0,2,32,25,5,14,17,24,71,6,6,NA,NA,NA,47,12,53,14,1,2,8,14,2,6,4,11,51,4,1,NA,NA,NA
Na Li,A. Medina Garrigues,1,1,2,0,71,31,29,7,,3,26,37,6,10,13,16,69,6,6,NA,NA,NA,57,18,43,7,,0,12,21,4,12,1,1,57,3,4,NA,NA,NA
Arantxa Rus,Sara Errani,1,0,0,2,52,11,48,2,,7,7,26,2,3,3,6,26,1,2,NA,NA,NA,85,18,15,3,,0,14,15,7,9,3,7,52,6,6,NA,NA,NA
Ayumi Morita,Yulia Putintseva,1,0,0,2,65,17,35,9,0,1,16,31,1,6,4,8,45,2,3,NA,NA,NA,58,22,42,16,3,2,16,13,4,7,0,1,61,6,6,NA,NA,NA
Maria-Teresa Torro-Flor,Julia Glushko,1,1,2,0,77,32,23,7,0,0,24,17,6,9,3,3,72,6,7,NA,NA,NA,78,22,22,5,2,1,15,23,3,3,3,9,50,2,5,NA,NA,NA
Sabine Lisicki,Sofia Arvidsson,1,1,2,0,52,27,48,15,4,3,37,30,3,6,13,19,73,6,6,NA,NA,NA,70,29,30,10,1,0,7,14,1,6,4,4,60,3,4,NA,NA,NA
Simona Halep,Carla Suarez Navarro,1,0,1,2,74,34,26,9,1,5,25,26,4,10,4,6,79,6,2,2,NA,NA,63,31,37,17,0,2,41,22,7,13,19,20,92,3,6,6,NA,NA
Irena Pavlovic,Shelby Rogers,1,0,0,2,59,24,41,11,4,3,13,26,0,0,1,2,47,3,4,NA,NA,NA,58,26,42,15,5,1,21,18,2,6,9,10,60,6,6,NA,NA,NA
Madison Keys,Misaki Doi,1,1,2,0,66,29,34,8,5,1,25,19,4,5,6,8,59,6,6,NA,NA,NA,62,16,38,9,0,2,10,11,1,4,7,12,46,3,2,NA,NA,NA
Nadia Petrova,Monica Puig,1,0,1,2,58,37,42,16,12,3,29,50,5,8,5,9,99,6,5,4,NA,NA,52,40,48,21,4,6,21,36,6,9,3,5,103,3,7,6,NA,NA
Petra Martic,Ana Ivanovic,1,0,1,2,62,30,38,17,1,6,23,39,2,9,24,27,81,1,6,3,NA,NA,54,37,46,24,3,3,27,36,4,10,6,14,100,6,3,6,NA,NA
Chanelle Scheepers,Mathilde Johansson,1,0,0,2,54,16,46,13,,5,9,23,3,5,1,4,56,5,1,NA,NA,NA,68,29,32,9,,7,26,36,6,15,6,9,72,7,6,NA,NA,NA
Virginie Razzano,Claire Feuerstein,1,1,2,0,75,46,25,9,3,4,16,18,3,9,7,12,89,7,6,NA,NA,NA,55,29,45,19,1,2,29,37,2,9,5,10,84,6,4,NA,NA,NA
Julia Goerges,Zuzana Kucova,1,0,0,2,54,22,46,14,10,4,39,56,2,9,6,15,73,6,0,NA,NA,NA,76,41,24,13,0,2,13,18,5,9,5,6,90,7,6,NA,NA,NA
Urszula Radwanska,Venus Williams,1,1,2,1,68,48,32,16,,4,28,40,11,17,13,23,131,7,6,6,NA,NA,65,38,35,13,,6,58,66,10,15,30,47,121,6,7,4,NA,NA
Dinah Pfizenmaier,Mandy Minella,1,1,2,0,67,28,33,5,2,4,30,30,7,13,3,3,69,7,6,NA,NA,NA,57,17,43,8,1,5,7,24,3,6,1,5,47,5,1,NA,NA,NA
Mallory Burdette,Donna Vekic,1,1,2,0,68,27,32,11,1,1,27,17,5,7,7,10,62,6,6,NA,NA,NA,63,21,37,7,1,3,12,13,3,7,2,4,56,3,4,NA,NA,NA
Agnieszka Radwanska,Shahar Peer,1,1,2,0,67,17,33,9,1,0,13,8,6,14,9,11,58,6,6,NA,NA,NA,56,15,44,7,1,4,17,24,1,2,2,10,32,1,1,NA,NA,NA
Mona Barthel,Angelique Kerber,1,0,0,2,57,30,43,16,1,0,37,35,1,4,13,20,77,6,2,NA,NA,NA,54,31,46,20,2,1,19,14,3,12,5,7,81,7,6,NA,NA,NA
Jana Cepelova,Christina McHale,1,1,2,1,78,52,22,9,0,3,25,32,4,12,5,6,104,7,2,6,NA,NA,70,52,30,10,2,3,31,39,5,9,7,13,106,6,6,4,NA,NA
Romina Oprandi,Elina Svitolina,1,0,1,2,67,35,33,7,2,3,26,32,5,11,8,17,81,3,6,1,NA,NA,61,30,39,19,2,2,40,24,8,16,16,28,99,6,4,6,NA,NA
Varvara Lepchenko,Mirjana Lucic-Baroni,1,1,2,0,65,23,35,8,5,3,12,15,6,10,4,4,63,6,6,NA,NA,NA,56,15,44,8,3,2,12,44,1,6,0,0,38,1,2,NA,NA,NA
Svetlana Kuznetsova,Ekaterina Makarova,1,1,2,0,54,15,46,15,3,2,31,18,6,10,5,11,73,6,6,NA,NA,NA,70,25,30,11,1,1,20,20,3,6,6,11,56,4,2,NA,NA,NA
Pauline Parmentier,Magdalena Rybarikova,1,0,0,2,54,12,46,6,0,6,5,22,1,1,3,8,30,0,1,NA,NA,NA,73,19,27,6,2,0,14,13,6,12,8,9,59,6,6,NA,NA,NA
Barbora Zahlavova Strycova,Bojana Jovanovski,1,0,0,2,71,23,29,6,3,2,13,16,0,0,3,7,39,3,2,NA,NA,NA,80,31,20,5,1,0,28,20,3,7,7,7,59,6,6,NA,NA,NA
Caroline Wozniacki,Laura Robson,1,1,2,0,76,27,24,8,3,1,11,10,5,7,1,1,66,6,6,NA,NA,NA,56,18,44,5,4,6,25,39,2,5,1,6,43,3,2,NA,NA,NA
Stephanie Foretz Gacon,Roberta Vinci,1,0,0,2,66,16,34,5,5,2,20,29,0,0,7,21,32,3,0,NA,NA,NA,60,20,40,12,0,2,10,10,4,5,6,6,58,6,6,NA,NA,NA
Galina Voskoboeva,Grace Min,1,1,2,1,55,30,45,18,3,3,38,30,8,14,16,26,97,4,6,7,NA,NA,69,34,31,17,1,1,31,19,7,10,10,15,92,6,4,5,NA,NA
Petra Cetkovska,Olga Puchkova,1,1,2,0,69,25,31,8,,4,17,17,6,7,4,5,61,6,6,NA,NA,NA,62,11,38,3,,4,4,25,1,7,0,0,32,0,2,NA,NA,NA
Anastasia Pavlyuchenkova,Andrea Hlavackova,1,1,2,1,54,31,46,22,3,4,36,45,7,16,13,21,108,4,7,6,NA,NA,72,46,28,11,2,5,32,38,7,12,9,14,104,6,6,4,NA,NA
Kiki Bertens,Sorana Cirstea,1,0,1,2,63,42,37,12,3,10,31,54,5,10,9,19,96,7,5,2,NA,NA,65,40,35,21,3,3,22,37,7,13,12,19,108,5,7,6,NA,NA
Monica Niculescu,Johanna Larsson,1,0,0,2,82,15,18,4,,1,18,21,2,2,5,8,39,2,3,NA,NA,NA,64,22,36,8,,1,25,11,6,6,12,14,61,6,6,NA,NA,NA
Yuliya Beygelzimer,Caroline Garcia,1,0,0,2,59,24,41,13,0,1,17,22,0,1,10,12,50,3,4,NA,NA,NA,60,29,40,13,4,2,19,21,2,4,3,6,64,6,6,NA,NA,NA
Serena Williams,Anna Tatishvili,1,1,2,0,73,21,27,7,8,1,27,14,5,11,1,1,56,6,6,NA,NA,NA,58,11,42,6,0,3,4,22,0,0,0,0,22,0,1,NA,NA,NA
Eugenie Bouchard,Maria Sharapova,2,0,0,2,57,17,43,10,0,2,8,18,1,4,1,1,43,2,2,NA,NA,NA,52,19,48,11,1,4,23,23,4,6,8,9,56,6,4,NA,NA,NA
Melanie Oudin,Jie Zheng,2,0,0,2,65,12,35,7,1,2,18,31,3,8,7,9,46,3,1,NA,NA,NA,73,26,27,7,0,0,20,14,7,9,3,5,65,6,6,NA,NA,NA
Vania King,Sloane Stephens,2,0,0,2,82,17,18,6,0,,7,11,1,3,5,10,36,1,3,NA,NA,NA,75,26,25,5,1,,29,17,5,8,7,11,57,6,6,NA,NA,NA
Dominika Cibulkova,Marina Erakovic,2,0,1,2,56,31,44,16,2,3,17,31,5,8,8,11,88,2,6,4,NA,NA,48,25,52,21,2,5,38,38,6,11,6,11,90,6,2,6,NA,NA
Kristina Mladenovic,Samantha Stosur,2,0,0,2,55,27,45,16,6,4,25,22,0,1,7,15,64,4,3,NA,NA,NA,75,40,25,6,0,4,26,22,2,10,14,17,74,6,6,NA,NA,NA
Jelena Jankovic,Garbine Muguruza,2,1,2,0,60,16,40,11,3,1,10,12,6,12,2,6,58,6,6,NA,NA,NA,54,13,46,8,0,7,12,29,1,2,9,15,34,3,0,NA,NA,NA
Anna Karolina Schmiedlova,Jamie Hampton,2,0,0,2,70,28,30,7,0,2,10,14,2,2,5,7,52,5,2,NA,NA,NA,57,22,43,15,1,1,30,25,5,13,10,13,69,7,6,NA,NA,NA
Petra Kvitova,Shuai Peng,2,1,2,0,53,20,47,13,4,4,30,26,6,11,9,11,66,6,6,NA,NA,NA,73,22,27,5,0,3,9,18,3,5,4,4,49,4,3,NA,NA,NA
Annika Beck,Victoria Azarenka,2,0,0,2,66,22,34,7,1,3,16,23,3,9,2,3,54,4,3,NA,NA,NA,63,24,37,7,1,6,26,26,6,11,14,18,67,6,6,NA,NA,NA
Alize Cornet,Silvia Soler-Espinosa,2,1,2,0,74,24,26,10,2,1,22,18,5,10,9,11,62,6,6,NA,NA,NA,53,13,47,10,0,2,10,30,1,7,7,10,42,1,3,NA,NA,NA
Francesca Schiavone,Kirsten Flipkens,2,1,2,1,62,34,38,20,1,7,39,39,9,18,28,47,110,6,4,6,NA,NA,53,33,47,13,1,5,33,40,6,17,27,41,98,1,6,3,NA,NA
Marion Bartoli,Mariana Duque-Marino,2,1,2,0,62,34,38,14,0,5,15,24,5,11,16,28,89,7,7,NA,NA,NA,57,32,43,14,2,5,42,44,4,14,13,25,82,6,5,NA,NA,NA
Ashleigh Barty,Maria Kirilenko,2,0,0,1,61,6,39,4,0,,9,5,1,1,2,2,16,3,NA,NA,NA,NA,75,9,25,1,1,,7,4,1,1,5,6,18,3,NA,NA,NA,NA
Kaia Kanepi,Stefanie Voegele,2,1,1,0,71,20,29,5,4,2,16,15,1,3,0,4,41,6,NA,NA,NA,NA,58,13,42,9,0,1,15,9,1,6,4,6,39,5,NA,NA,NA,NA
Paula Ormaechea,Yaroslava Shvedova,2,1,2,0,64,27,36,14,1,3,17,26,6,9,3,8,81,6,7,NA,NA,NA,74,26,26,7,0,3,18,38,5,8,9,11,72,4,6,NA,NA,NA
Na Li,Bethanie Mattek-Sands,2,0,1,2,63,34,37,17,3,5,20,34,5,9,2,9,88,7,3,2,NA,NA,54,35,46,18,3,3,32,37,7,14,5,5,97,5,6,6,NA,NA
Yulia Putintseva,Sara Errani,2,0,0,2,64,11,36,5,,2,14,26,1,5,4,11,31,1,1,NA,NA,NA,87,28,13,3,,0,22,7,6,10,9,11,59,6,6,NA,NA,NA
Sabine Lisicki,Maria-Teresa Torro-Flor,2,1,2,0,68,26,32,8,2,3,32,33,6,12,8,11,62,6,6,NA,NA,NA,74,17,26,5,0,1,6,17,2,8,1,4,45,4,0,NA,NA,NA
Shelby Rogers,Carla Suarez Navarro,2,0,1,2,67,38,33,14,2,1,37,38,5,10,11,14,91,6,4,4,NA,NA,63,41,37,14,1,2,32,31,5,8,10,14,98,3,6,6,NA,NA
Monica Puig,Madison Keys,2,1,2,0,52,26,48,21,1,2,15,21,3,7,1,3,79,6,7,NA,NA,NA,61,31,39,11,4,4,17,38,2,6,1,3,68,4,6,NA,NA,NA
Mathilde Johansson,Ana Ivanovic,2,0,0,2,73,17,27,4,,3,11,18,1,1,1,3,33,2,2,NA,NA,NA,55,20,45,10,,1,18,10,5,8,2,2,58,6,6,NA,NA,NA
Zuzana Kucova,Virginie Razzano,2,0,1,2,72,36,28,10,1,5,22,42,3,10,5,8,87,6,2,0,NA,NA,72,42,28,14,0,3,35,41,7,17,15,19,105,4,6,6,NA,NA
Dinah Pfizenmaier,Urszula Radwanska,2,1,2,0,60,24,40,15,1,1,33,32,5,12,16,24,70,6,6,NA,NA,NA,67,20,33,9,0,1,6,15,2,10,5,6,55,3,3,NA,NA,NA
Agnieszka Radwanska,Mallory Burdette,2,1,2,0,65,23,35,11,2,1,14,5,5,8,5,7,61,6,6,NA,NA,NA,73,17,27,5,1,0,23,28,2,5,9,19,40,3,2,NA,NA,NA
Jana Cepelova,Angelique Kerber,2,0,0,2,70,12,30,3,1,2,13,28,2,8,4,7,38,2,2,NA,NA,NA,62,24,38,11,1,1,13,18,6,7,5,5,63,6,6,NA,NA,NA
Varvara Lepchenko,Elina Svitolina,2,1,2,0,61,23,39,12,1,5,32,31,5,11,13,16,71,7,6,NA,NA,NA,65,22,35,10,0,2,11,23,3,3,2,5,56,6,1,NA,NA,NA
Magdalena Rybarikova,Svetlana Kuznetsova,2,0,1,2,66,32,34,11,4,3,22,32,3,6,8,17,72,6,2,2,NA,NA,79,36,21,7,1,1,30,30,5,8,9,13,79,1,6,6,NA,NA
Caroline Wozniacki,Bojana Jovanovski,2,0,0,2,70,29,30,10,1,3,13,18,2,3,5,7,62,6,3,NA,NA,NA,68,34,32,8,3,1,33,32,3,7,2,5,72,7,6,NA,NA,NA
Galina Voskoboeva,Roberta Vinci,2,0,1,2,60,36,40,11,4,4,40,37,2,3,20,35,76,4,6,2,NA,NA,56,35,44,18,1,1,19,15,4,5,20,26,86,6,4,6,NA,NA
Anastasia Pavlyuchenkova,Petra Cetkovska,2,0,1,2,50,33,50,22,5,5,37,40,6,10,11,20,97,5,6,4,NA,NA,54,29,46,20,5,2,29,19,6,14,9,15,96,7,2,6,NA,NA
Johanna Larsson,Sorana Cirstea,2,0,0,2,63,12,37,9,1,2,7,19,1,8,3,3,45,1,4,NA,NA,NA,54,27,46,14,1,1,20,22,4,5,3,5,60,6,6,NA,NA,NA
Serena Williams,Caroline Garcia,2,1,2,0,69,23,31,9,6,1,27,9,4,10,3,5,60,6,6,NA,NA,NA,53,16,47,9,2,3,14,14,0,0,3,5,32,1,2,NA,NA,NA
Jie Zheng,Maria Sharapova,3,0,0,2,81,23,19,3,0,1,8,24,4,11,4,4,58,1,5,NA,NA,NA,57,22,43,13,3,8,25,34,8,8,4,7,76,6,7,NA,NA,NA
Marina Erakovic,Sloane Stephens,3,0,1,2,64,37,36,15,4,6,31,44,3,9,11,14,93,4,7,3,NA,NA,78,58,22,11,2,2,30,33,5,6,9,12,102,6,6,6,NA,NA
Jelena Jankovic,Samantha Stosur,3,1,2,1,73,39,27,13,4,5,16,24,5,12,12,20,90,3,6,6,NA,NA,70,35,30,16,2,2,28,39,4,7,20,25,87,6,3,4,NA,NA
Petra Kvitova,Jamie Hampton,3,0,0,2,63,24,37,10,2,3,21,33,3,4,10,17,57,1,6,NA,NA,NA,51,24,49,12,4,5,13,18,5,11,3,5,73,6,7,NA,NA,NA
Alize Cornet,Victoria Azarenka,3,0,1,2,65,28,35,10,3,3,28,32,6,16,7,10,84,6,3,1,NA,NA,69,40,31,11,0,10,41,31,9,20,23,32,99,4,6,6,NA,NA
Marion Bartoli,Francesca Schiavone,3,0,0,2,62,14,38,8,1,5,9,19,1,3,5,15,41,2,1,NA,NA,NA,53,17,47,15,0,3,32,14,5,9,7,10,63,6,6,NA,NA,NA
Stefanie Voegele,Maria Kirilenko,3,0,0,2,52,30,48,19,0,2,25,38,3,7,18,25,79,6,5,NA,NA,NA,57,27,43,20,2,1,30,28,4,9,17,22,91,7,7,NA,NA,NA
Bethanie Mattek-Sands,Paula Ormaechea,3,1,2,1,71,34,29,12,2,2,38,21,6,9,13,19,88,4,6,6,NA,NA,55,32,45,8,3,8,18,28,3,4,0,3,63,6,1,3,NA,NA
Sabine Lisicki,Sara Errani,3,0,0,2,46,15,54,7,1,3,25,34,1,7,8,15,42,0,4,NA,NA,NA,89,34,11,2,1,0,14,7,5,7,5,8,64,6,6,NA,NA,NA
Monica Puig,Carla Suarez Navarro,3,0,0,2,59,24,41,12,1,2,21,31,3,5,7,12,68,4,5,NA,NA,NA,72,39,28,8,3,1,21,29,5,10,7,9,82,6,7,NA,NA,NA
Virginie Razzano,Ana Ivanovic,3,0,0,2,70,18,30,7,1,1,11,20,1,4,13,17,48,3,2,NA,NA,NA,73,32,27,8,5,3,23,21,4,10,2,3,68,6,6,NA,NA,NA
Agnieszka Radwanska,Dinah Pfizenmaier,3,1,2,0,61,26,39,16,1,0,10,17,3,6,9,16,69,6,6,NA,NA,NA,62,24,38,12,1,2,24,48,1,3,14,18,56,3,4,NA,NA,NA
Varvara Lepchenko,Angelique Kerber,3,0,1,2,81,54,19,6,1,4,46,45,3,8,14,20,101,4,7,4,NA,NA,65,47,35,19,2,3,24,24,5,10,3,4,110,6,6,6,NA,NA
Bojana Jovanovski,Svetlana Kuznetsova,3,0,0,2,69,31,31,10,1,5,21,21,3,3,4,5,64,4,6,NA,NA,NA,67,29,33,11,7,5,24,24,4,7,8,10,77,6,7,NA,NA,NA
Petra Cetkovska,Roberta Vinci,3,0,1,2,63,26,37,11,1,5,29,37,4,13,9,22,80,1,6,2,NA,NA,62,32,38,18,4,2,34,25,6,12,8,16,91,6,2,6,NA,NA
Serena Williams,Sorana Cirstea,3,1,2,0,67,22,33,10,3,2,13,16,5,6,3,4,61,6,6,NA,NA,NA,56,13,44,6,0,6,3,19,0,3,3,7,33,0,2,NA,NA,NA
Sloane Stephens,Maria Sharapova,4,0,0,2,65,28,35,12,1,4,15,25,1,3,2,3,54,4,3,NA,NA,NA,63,25,37,12,1,1,17,20,4,12,5,5,72,6,6,NA,NA,NA
Jamie Hampton,Jelena Jankovic,4,0,0,2,66,11,34,7,1,0,9,29,1,2,9,16,34,0,2,NA,NA,NA,70,22,30,8,2,2,11,15,6,10,6,7,62,6,6,NA,NA,NA
Francesca Schiavone,Victoria Azarenka,4,0,0,2,57,11,43,3,2,2,10,24,2,6,8,13,35,3,0,NA,NA,NA,88,28,12,3,1,1,19,14,7,12,10,12,61,6,6,NA,NA,NA
Bethanie Mattek-Sands,Maria Kirilenko,4,0,0,2,56,29,44,18,0,2,27,42,2,5,13,21,75,5,4,NA,NA,NA,64,31,36,14,1,6,13,25,4,11,10,17,80,7,6,NA,NA,NA
Carla Suarez Navarro,Sara Errani,4,0,1,2,67,32,33,14,,1,42,47,6,18,12,31,93,7,4,3,NA,NA,91,57,9,4,,1,33,27,7,10,14,24,107,5,6,6,NA,NA
Agnieszka Radwanska,Ana Ivanovic,4,1,2,0,57,21,43,15,1,1,18,5,5,9,9,12,72,6,6,NA,NA,NA,50,19,50,15,1,9,29,33,2,5,8,17,59,2,4,NA,NA,NA
Svetlana Kuznetsova,Angelique Kerber,4,1,2,1,63,46,37,17,3,1,48,37,5,12,16,28,108,6,4,6,NA,NA,75,44,25,13,0,2,37,31,4,13,10,15,100,4,6,3,NA,NA
Serena Williams,Roberta Vinci,4,1,2,0,62,24,38,12,5,1,32,21,4,10,13,21,64,6,6,NA,NA,NA,68,20,32,9,1,1,13,12,0,1,10,16,43,1,3,NA,NA,NA
Jelena Jankovic,Maria Sharapova,5,0,1,2,63,31,37,16,0,4,9,21,4,7,5,12,74,6,4,3,NA,NA,66,30,34,13,1,2,30,45,4,4,9,11,79,0,6,6,NA,NA
Maria Kirilenko,Victoria Azarenka,5,0,0,2,57,31,43,8,2,5,17,18,3,4,6,12,63,6,2,NA,NA,NA,78,32,22,4,0,2,25,18,5,11,13,14,73,7,6,NA,NA,NA
Agnieszka Radwanska,Sara Errani,5,0,0,2,70,28,30,5,2,2,27,27,5,11,20,34,72,4,6,NA,NA,NA,84,41,16,3,0,0,30,25,6,7,16,24,80,6,7,NA,NA,NA
Serena Williams,Svetlana Kuznetsova,5,1,2,1,66,42,34,12,4,5,37,28,6,16,12,20,92,6,3,6,NA,NA,77,28,23,7,1,1,19,24,4,9,3,6,75,1,6,3,NA,NA
Victoria Azarenka,Maria Sharapova,6,0,1,2,72,28,28,8,3,0,15,22,5,10,8,10,77,1,6,4,NA,NA,62,41,38,10,12,11,42,39,6,10,2,6,87,6,2,6,NA,NA
Serena Williams,Sara Errani,6,1,2,0,52,14,48,14,5,,40,12,5,7,8,10,52,6,6,NA,NA,NA,80,10,20,1,0,,2,3,0,0,2,2,16,0,1,NA,NA,NA
Serena Williams,Maria Sharapova,7,1,2,0,69,27,31,8,10,0,29,21,4,15,10,12,71,6,6,NA,NA,NA,55,20,45,20,2,4,10,17,2,2,3,4,56,4,4,NA,NA,NA
