Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.1,ST2.2,ST3.2,ST4.2,ST5.2
K.Mladenovic,M.Sharapova,1,0,0,2,52,29,48,17,6,7,18,20,1,0,15,11,,6,3,NA,,,68,35,32,14,5,0,27,18,8,1,9,4,,7,6,NA,,
M.Larcher De Brito,M.Oudin,1,1,2,1,68,46,32,15,1,5,16,42,6,5,14,8,,7,1,6,,,65,32,35,15,3,2,33,51,16,7,13,10,,6,6,4,,
L.Hradecka,K.Knapp,1,0,0,2,65,23,35,8,2,2,16,16,3,0,8,4,,3,4,NA,,,63,34,37,11,9,3,26,19,2,2,9,6,,6,6,NA,,
L.Safarova,L.Davis,1,1,2,0,63,24,37,11,2,1,19,9,5,4,5,2,,6,6,NA,,,66,21,34,2,1,2,13,7,1,0,3,2,,4,0,NA,,
S.Voegele,S.Cirstea,1,0,0,2,51,29,49,19,1,3,13,32,10,4,18,16,,5,6,NA,,,59,32,41,15,1,3,29,29,12,5,25,15,,7,7,NA,,
C.Giorgi,S.Murray,1,1,2,0,54,23,46,19,1,4,18,17,13,2,21,14,,6,6,NA,,,58,28,42,16,4,6,18,27,1,0,10,7,,3,4,NA,,
C.McHale,A.Glatch,1,1,2,0,60,24,40,13,1,0,16,14,10,4,15,6,,6,6,NA,,,54,26,46,8,7,1,17,24,5,2,25,13,,4,4,NA,,
M.Bartoli,E.Svitolina,1,1,2,0,58,29,42,16,4,3,30,25,7,3,18,13,,6,7,NA,,,56,24,44,14,1,5,22,13,3,1,14,10,,3,5,NA,,
E.Cabeza Candela,C.Wozniacki,1,0,0,2,68,9,32,3,0,1,12,18,5,1,15,8,,0,2,NA,,,72,29,28,2,3,3,12,7,8,6,9,6,,6,6,NA,,
P.Cetkovska,D.Vekic,1,1,2,0,69,28,31,7,6,1,30,14,9,4,11,11,,6,6,NA,,,53,23,47,11,4,2,18,16,0,0,9,4,,3,1,NA,,
P.Parmentier,A.Petkovic,1,0,0,2,62,16,38,10,3,3,16,12,3,1,13,9,,3,2,NA,,,77,28,23,7,1,0,18,9,6,4,7,5,,6,6,NA,,
S.Stephens,J.Hampton,1,1,2,0,73,34,27,6,4,2,16,15,6,4,13,8,,6,6,NA,,,66,21,34,11,1,1,14,14,4,1,12,6,,3,3,NA,,
E.Birnerova,V.Lepchenko,1,1,2,1,76,44,24,15,2,2,33,28,12,3,15,6,,6,4,6,,,72,43,28,13,7,6,34,46,6,1,25,16,,2,6,4,,
L.Arruabarrena,L.Tsurenko,1,0,0,2,79,23,21,4,2,0,7,7,0,0,12,4,,1,3,NA,,,60,24,40,10,2,1,24,22,7,4,12,9,,6,6,NA,,
S.Soler-Espinosa,M.Doi,1,1,2,1,58,33,42,10,1,3,25,28,13,6,20,14,,1,6,6,,,64,25,36,14,1,5,30,27,10,5,15,8,,6,4,1,,
S.Errani,M.Puig,1,0,0,2,75,28,25,6,0,3,13,15,6,1,11,7,,3,2,NA,,,68,28,32,13,4,3,38,17,8,4,18,12,,6,6,NA,,
M.Krajicek,N.Li,1,0,0,2,50,11,50,11,1,2,7,8,3,0,11,7,,1,1,NA,,,62,24,38,11,2,4,29,12,7,5,18,16,,6,6,NA,,
O.Govortsova,S.Halep,1,0,1,2,58,30,42,16,0,5,20,26,5,4,20,17,,2,6,3,,,56,29,44,15,4,5,32,20,13,6,19,18,,6,3,6,,
N.Bratchikova,A.Beck,1,0,0,2,65,20,35,8,2,4,24,30,6,2,19,12,,3,2,NA,,,72,29,28,14,2,0,14,11,11,6,2,1,,6,6,NA,,
K.Zakopalova,D.Hantuchova,1,1,2,0,54,28,46,13,2,4,29,16,8,6,8,5,,6,6,NA,,,63,15,37,8,0,3,15,18,10,3,8,5,,4,3,NA,,
M.Camerin,D.Cibulkova,1,0,1,2,55,42,45,26,2,6,24,31,9,4,17,9,,4,6,4,,,65,43,35,17,0,5,43,48,14,5,23,18,,6,4,6,,
M.Torro-Flor,I.Begu,1,1,2,0,72,25,28,8,,4,22,30,15,5,5,3,,6,6,NA,,,61,23,39,11,,2,15,27,5,3,9,8,,3,4,NA,,
Kr.Pliskova,J.Cepelova,1,0,0,2,69,16,31,6,6,1,20,29,8,3,12,7,,4,1,NA,,,62,24,38,12,2,2,18,15,10,6,8,6,,6,6,NA,,
R.Vinci,C.Scheepers,1,1,2,0,57,24,43,14,4,3,23,6,7,5,20,14,,6,6,NA,,,52,10,48,7,0,3,16,20,10,1,19,13,,2,1,NA,,
Ka.Pliskova,N.Petrova,1,1,2,0,73,33,27,4,13,1,32,6,7,3,5,4,,6,6,NA,,,60,20,40,8,6,0,17,11,1,0,9,4,,3,2,NA,,
A.Tatishvili,P.Martic,1,0,1,2,67,31,33,13,0,5,19,22,11,3,14,7,,1,6,3,,,59,32,41,14,10,6,29,19,11,5,15,9,,6,1,6,,
B.Zahlavova Strycova,M.Rybarikova,1,1,2,1,62,37,38,14,6,3,35,42,22,8,34,23,,5,6,6,,,64,29,36,16,1,1,31,55,8,3,48,25,,7,0,1,,
A.Pavlyuchenkova,T.Pironkova,1,0,0,2,57,9,43,5,1,4,14,18,1,0,14,6,,0,1,NA,,,60,18,40,13,5,0,19,2,9,5,7,4,,6,6,NA,,
M.Niculescu,M.Barthel,1,0,1,2,85,46,15,7,0,1,26,22,13,6,48,23,,3,6,5,,,68,39,32,17,1,0,44,39,16,7,66,42,,6,4,7,,
H.Watson,M.Keys,1,0,0,2,53,18,47,13,4,2,11,15,5,2,7,4,,3,5,NA,,,63,25,37,10,8,2,23,18,7,5,8,5,,6,7,NA,,
T.Babos,M.Johansson,1,0,1,2,51,25,49,15,7,8,19,47,6,4,13,6,,6,1,3,,,59,32,41,17,1,7,19,38,12,7,18,12,,4,6,6,,
A.Radwanska,Y.Meusburger,1,1,2,0,73,24,27,5,5,1,17,8,8,6,14,10,,6,6,NA,,,64,7,36,6,0,0,13,18,5,1,17,11,,1,1,NA,,
B.Mattek-Sands,A.Kerber,1,0,0,2,55,29,45,10,4,1,26,26,3,2,30,15,,3,4,NA,,,58,21,42,13,1,0,15,4,10,5,15,6,,6,6,NA,,
K.Kanepi,T.Moore,1,1,2,1,54,48,46,26,12,9,45,46,21,5,13,7,,7,5,7,,,58,58,42,24,4,11,30,36,15,4,14,12,,5,7,5,,
M.Burdette,U.Radwanska,1,0,1,2,74,38,26,10,0,4,42,54,20,8,44,30,,6,6,2,,,68,39,32,15,2,2,26,18,20,9,18,11,,7,4,6,,
R.Oprandi,A.Riske,1,0,1,2,68,34,32,12,2,1,34,22,11,4,13,3,,7,5,1,,,72,50,28,10,2,7,39,35,9,6,64,42,,6,7,3,,
A.Medina Garrigues,S.Peng,1,0,0,2,66,19,34,9,0,0,21,16,6,0,12,11,,3,2,NA,,,70,44,30,9,7,1,29,21,4,3,21,13,,6,6,NA,,
A.Morita,M.Erakovic,1,0,1,2,75,41,25,8,1,4,17,21,4,1,9,4,,6,0,5,,,59,45,41,15,12,7,40,34,9,4,16,14,,4,6,7,,
M.Duque-Marino,J.Goerges,1,1,2,1,64,48,36,20,4,7,19,25,11,4,13,10,,6,6,7,,,62,47,38,21,3,8,30,46,4,2,29,16,,4,7,5,,
M.Kirilenko,L.Robson,1,0,0,2,60,21,40,10,2,0,8,4,2,1,7,5,,3,4,NA,,,53,24,47,16,8,3,31,17,6,3,10,8,,6,6,NA,,
A.Schmiedlova,S.Stosur,1,0,0,2,65,24,35,7,2,3,7,15,2,0,4,2,,1,3,NA,,,65,25,35,8,5,0,25,10,10,4,26,19,,6,6,NA,,
O.Puchkova,A.Rus,1,1,2,0,69,24,31,4,,7,17,26,10,7,4,3,,6,6,NA,,,56,19,44,15,,7,19,48,5,4,9,6,,4,2,NA,,
E.Vesnina,A.Hlavackova,1,1,2,0,73,29,27,7,1,1,21,16,9,6,14,8,,6,7,NA,,,79,25,21,6,2,2,19,26,6,3,14,8,,2,5,NA,,
S.Lisicki,F.Schiavone,1,1,2,0,60,27,40,11,5,4,25,17,8,4,13,11,,6,6,NA,,,54,15,46,11,1,3,6,8,3,0,16,9,,1,2,NA,,
A.Cadantu,T.Paszek,1,1,2,0,71,29,29,8,2,3,17,22,8,5,8,4,,6,7,NA,,,66,19,34,6,1,6,20,40,5,2,9,8,,2,5,NA,,
K.Date-Krumm,C.Witthoeft,1,1,2,0,65,17,35,10,1,0,17,8,8,6,20,16,,6,6,NA,,,41,6,59,7,0,4,2,10,2,1,1,0,,0,2,NA,,
C.Garcia,J.Zheng,1,1,2,0,64,33,36,11,4,0,22,20,4,2,16,8,,6,6,NA,,,70,25,30,10,1,2,13,14,2,0,9,6,,3,4,NA,,
S.Williams,M.Minella,1,1,2,0,73,23,27,7,7,1,25,11,6,5,13,9,,6,6,NA,,,48,12,52,12,1,1,5,6,1,1,7,3,,1,3,NA,,
A.Cornet,S-W.Hsieh,2,1,2,0,64,29,36,14,2,1,20,10,9,4,15,10,,6,6,NA,,,53,14,47,9,0,2,13,16,8,1,15,10,,3,2,NA,,
B.Jovanovski,K.Flipkens,2,0,0,2,59,24,41,15,3,1,19,17,5,1,11,8,,4,4,NA,,,58,27,42,14,7,1,24,9,9,3,10,8,,6,6,NA,,
J.Jankovic,V.Dolonc,2,0,0,2,61,23,39,7,1,4,13,26,6,2,17,9,,5,2,NA,,,72,33,28,11,2,3,17,18,7,5,16,11,,7,6,NA,,
E.Bouchard,A.Ivanovic,2,1,2,0,54,25,46,10,0,2,14,11,7,5,6,5,,6,6,NA,,,51,12,49,10,5,3,18,9,5,2,12,6,,3,3,NA,,
C.Suarez Navarro,M.Lucic-Baroni,2,1,2,1,59,30,41,16,1,2,16,13,8,5,12,7,,1,6,6,,,56,28,44,16,7,3,30,31,9,4,8,5,,6,3,3,,
G.Muguruza,E.Makarova,2,0,1,2,58,37,42,21,3,6,31,31,9,2,17,12,,2,7,4,,,68,49,32,16,7,2,30,14,11,5,5,4,,6,6,6,,
M.Larcher De Brito,M.Sharapova,2,1,2,0,71,34,29,16,0,2,13,9,6,3,2,1,,6,6,NA,,,60,20,40,9,6,5,21,18,7,1,7,5,,3,4,NA,,
L.Safarova,K.Knapp,2,0,1,2,65,37,35,19,1,4,21,30,5,4,9,5,,6,4,4,,,67,39,33,14,10,2,25,24,8,5,5,3,,4,6,6,,
C.Giorgi,S.Cirstea,2,1,2,0,53,36,47,20,0,11,21,36,14,5,22,13,,7,7,NA,,,58,40,42,16,3,6,19,24,15,5,18,10,,6,6,NA,,
M.Bartoli,C.McHale,2,1,2,0,64,38,36,11,1,6,22,17,12,5,16,12,,7,6,NA,,,64,26,36,11,4,3,31,20,12,3,13,9,,5,4,NA,,
P.Cetkovska,C.Wozniacki,2,1,2,0,71,31,29,7,1,3,30,13,8,4,15,14,,6,6,NA,,,69,15,31,8,0,1,6,10,6,0,8,4,,2,2,NA,,
S.Stephens,A.Petkovic,2,1,2,1,64,48,36,19,8,4,25,39,7,6,31,14,,7,2,8,,,63,38,37,22,4,2,26,30,16,7,19,13,,6,6,6,,
L.Tsurenko,E.Birnerova,2,0,0,2,48,17,52,17,2,7,12,42,3,1,13,6,,3,4,NA,,,55,23,45,19,0,3,10,30,7,3,10,8,,6,6,NA,,
M.Puig,S.Soler-Espinosa,2,1,2,1,63,43,37,24,6,1,31,20,9,3,23,17,,6,5,6,,,57,38,43,18,2,4,36,27,6,1,17,13,,2,7,4,,
S.Halep,N.Li,2,0,1,2,71,28,29,8,1,1,18,6,9,3,6,6,,2,6,0,,,73,29,27,7,0,4,24,14,11,6,15,13,,6,1,6,,
K.Zakopalova,A.Beck,2,1,2,0,59,28,41,10,1,7,23,33,18,7,8,7,,7,6,NA,,,66,23,34,9,0,4,9,27,14,6,3,2,,6,3,NA,,
M.Torro-Flor,D.Cibulkova,2,0,0,2,61,9,39,6,1,1,10,17,0,0,6,3,,0,1,NA,,,44,15,56,13,0,3,13,7,9,5,6,4,,6,6,NA,,
R.Vinci,J.Cepelova,2,1,2,1,58,47,42,15,6,3,30,30,20,7,59,32,,6,4,9,,,61,37,39,22,0,2,36,29,8,5,37,23,,1,6,7,,
P.Martic,Ka.Pliskova,2,1,2,0,54,24,46,15,5,8,27,23,11,4,21,18,,7,6,NA,,,63,28,37,6,5,8,24,27,2,2,20,10,,6,1,NA,,
T.Pironkova,B.Zahlavova Strycova,2,1,2,0,68,37,32,10,3,2,25,18,6,2,19,16,,7,6,NA,,,64,28,36,15,6,0,20,12,1,0,30,16,,5,3,NA,,
M.Keys,M.Barthel,2,1,2,0,65,25,35,12,4,2,18,12,10,3,7,3,,6,6,NA,,,74,32,26,8,1,1,11,22,1,0,9,5,,4,2,NA,,
A.Radwanska,M.Johansson,2,1,2,0,62,23,38,12,,1,14,7,9,5,14,10,,6,6,NA,,,66,24,34,6,,6,22,29,4,1,27,18,,1,3,NA,,
M.Erakovic,S.Peng,2,1,2,0,58,35,42,15,6,5,24,14,4,2,16,11,,7,6,NA,,,74,30,26,9,4,1,17,16,3,0,8,4,,6,2,NA,,
O.Puchkova,S.Stosur,2,0,0,2,56,9,44,3,0,5,8,12,4,2,10,6,,2,2,NA,,,69,20,31,11,3,2,22,10,6,6,12,12,,6,6,NA,,
S.Lisicki,E.Vesnina,2,1,2,0,65,28,35,10,4,1,24,10,6,5,10,8,,6,6,NA,,,74,14,26,4,2,2,10,17,4,1,15,5,,3,1,NA,,
K.Date-Krumm,A.Cadantu,2,1,2,0,79,32,21,8,1,3,17,21,7,5,25,20,,6,7,NA,,,79,30,21,7,0,3,15,10,6,3,11,9,,4,5,NA,,
S.Williams,C.Garcia,2,1,2,0,71,25,29,8,9,0,30,9,9,4,11,6,,6,6,NA,,,75,24,25,9,3,1,15,5,0,0,14,8,,3,2,NA,,
A.Cornet,F.Pennetta,3,0,1,2,56,28,44,19,2,5,24,22,8,5,20,13,,6,6,2,,,56,30,44,16,0,2,23,19,5,4,30,22,,0,7,6,,
V.Dolonc,K.Flipkens,3,0,0,2,65,11,35,8,0,2,14,18,8,4,28,15,,4,2,NA,,,63,27,37,8,8,2,29,14,13,7,24,14,,6,6,NA,,
C.Suarez Navarro,E.Bouchard,3,1,2,0,66,31,34,13,1,2,25,17,15,6,14,9,,7,6,NA,,,56,25,44,15,2,2,24,32,9,3,13,10,,5,2,NA,,
P.Kvitova,E.Makarova,3,0,1,2,63,30,37,8,2,4,26,19,8,3,10,8,,6,2,1,,,75,35,25,8,4,1,18,5,11,4,5,4,,3,6,2,,
K.Knapp,M.Larcher De Brito,3,1,2,0,57,32,43,13,14,5,27,17,10,4,7,5,,7,6,NA,,,71,28,29,9,0,3,10,14,5,1,4,2,,5,2,NA,,
M.Bartoli,C.Giorgi,3,1,2,0,62,26,38,10,1,5,20,12,8,6,8,7,,6,7,NA,,,60,21,40,14,0,2,24,18,7,4,27,19,,4,5,NA,,
S.Stephens,P.Cetkovska,3,0,1,1,79,32,21,3,2,4,10,17,5,1,10,4,,7,0,NA,,,56,23,44,17,0,2,14,15,7,4,14,11,,6,6,NA,,
M.Puig,E.Birnerova,3,0,0,2,58,15,42,8,3,2,15,10,4,1,10,7,,4,1,NA,,,75,22,25,5,4,2,24,9,5,3,13,11,,6,2,NA,,
K.Zakopalova,N.Li,3,0,1,2,62,35,38,14,0,3,15,30,9,4,10,5,,6,0,6,,,69,43,31,15,4,3,28,28,10,7,10,9,,4,6,8,,
R.Vinci,D.Cibulkova,3,1,2,0,56,18,44,17,2,2,18,11,9,5,23,18,,6,6,NA,,,64,15,36,9,0,2,14,22,6,2,20,14,,1,4,NA,,
T.Pironkova,P.Martic,3,1,2,1,57,34,43,21,1,0,27,20,9,6,24,16,,6,4,6,,,50,20,50,14,3,7,30,27,14,3,40,25,,1,6,2,,
A.Radwanska,M.Keys,3,1,2,1,71,55,29,18,2,1,23,10,18,3,31,20,,7,4,6,,,61,53,39,16,15,1,67,51,10,2,34,22,,5,6,3,,
A.Riske,K.Kanepi,3,0,0,2,60,15,40,8,1,4,12,9,1,1,9,7,,2,3,NA,,,53,22,47,13,4,1,24,9,7,4,6,3,,6,6,NA,,
L.Robson,M.Erakovic,3,1,2,1,59,35,41,16,5,2,25,20,9,4,11,8,,1,7,6,,,60,37,40,13,12,8,34,15,9,4,11,7,,6,5,3,,
S.Lisicki,S.Stosur,3,1,2,1,68,39,32,13,8,1,34,13,9,4,27,18,,4,6,6,,,61,32,39,15,3,4,20,14,5,1,16,11,,6,2,1,,
S.Williams,K.Date-Krumm,3,1,2,0,64,21,36,8,8,1,28,12,9,6,9,8,,6,6,NA,,,64,10,36,9,0,0,8,9,2,1,15,10,,2,0,NA,,
K.Flipkens,F.Pennetta,4,1,2,0,60,26,40,14,6,1,31,20,12,6,41,26,,7,6,NA,,,66,26,34,11,0,0,20,19,6,4,31,18,,6,3,NA,,
P.Kvitova,C.Suarez Navarro,4,1,2,0,70,40,30,10,5,3,23,21,2,2,18,11,,7,6,NA,,,66,31,34,11,1,1,10,12,6,1,11,9,,6,3,NA,,
M.Bartoli,K.Knapp,4,1,2,0,61,26,39,7,1,7,12,13,7,5,2,2,,6,6,NA,,,60,18,40,4,2,2,9,16,2,1,5,1,,2,3,NA,,
M.Puig,S.Stephens,4,0,1,2,61,30,39,20,1,0,23,22,8,3,14,8,,6,5,1,,,63,46,37,13,6,6,25,31,12,5,15,7,,4,7,6,,
R.Vinci,N.Li,4,0,0,2,64,12,36,5,0,2,8,4,4,1,13,7,,2,0,NA,,,61,21,39,10,0,1,26,10,7,6,19,14,,6,6,NA,,
A.Radwanska,T.Pironkova,4,1,2,1,71,47,29,17,3,5,39,11,12,4,48,32,,4,6,6,,,55,37,45,18,5,1,52,27,6,2,46,29,,6,3,3,,
L.Robson,K.Kanepi,4,0,0,2,57,32,43,16,9,4,27,24,3,1,11,7,,6,5,NA,,,60,44,40,14,9,5,28,18,5,2,5,3,,7,7,NA,,
S.Williams,S.Lisicki,4,0,1,2,62,31,38,16,7,2,25,23,16,5,24,12,,2,6,4,,,61,38,39,20,10,3,35,25,8,5,16,14,,6,1,6,,
P.Kvitova,K.Flipkens,5,0,1,2,72,50,28,11,2,2,41,28,3,2,39,25,,6,3,4,,,62,42,38,17,7,2,23,5,8,3,20,16,,4,6,6,,
S.Stephens,M.Bartoli,5,0,0,2,63,24,37,5,3,3,21,19,8,4,10,8,,4,5,NA,,,58,26,42,15,0,3,6,12,12,6,10,4,,6,7,NA,,
A.Radwanska,N.Li,5,1,2,1,77,52,23,9,0,5,32,18,16,5,32,21,,7,4,6,,,77,57,23,13,1,4,58,40,10,4,71,48,,6,6,2,,
S.Lisicki,K.Kanepi,5,1,2,0,59,26,41,10,3,4,23,19,5,4,12,9,,6,6,NA,,,67,25,33,9,3,3,13,23,2,1,19,9,,3,3,NA,,
M.Bartoli,K.Flipkens,6,1,2,0,61,21,39,10,5,3,23,10,7,5,11,11,,6,6,NA,,,49,8,51,7,0,1,10,6,2,1,21,8,,1,2,NA,,
S.Lisicki,A.Radwanska,6,1,2,1,63,53,37,19,9,7,60,46,14,6,44,32,,6,2,9,,,70,42,30,15,1,0,21,10,14,6,31,16,,4,6,7,,
S.Lisicki,M.Bartoli,7,0,0,2,65,22,35,9,6,5,21,25,8,2,18,11,,1,4,NA,,,67,31,33,7,2,6,15,14,13,5,11,9,,6,6,NA,,
